URL,Marque,Modèle,Prix,Carrosserie,Etat,Sieges,Portes,Annonce ID,Garantie,Kilometrage,Annee,Puissance,Transmission,Cylindree,Carburant,CO2,Couleur originale,Type peinture,Couleur interieur,position_page
https://www.autoscout24.fr/offres/volkswagen-touareg-diesel-noir-101c7bb2-41a4-489e-bdac-d574a0975053,Volkswagen Touareg,,"€ 4 990,-",Break,Occasion,5,5,WVGZZZ7LZ4D065769,3 mois,199 000 km,03/2004,128 kW (174 CH),Boîte manuelle,,Diesel,265 g/km (mixte),NOIR,,,1
https://www.autoscout24.fr/offres/peugeot-308-puretech-110ch-s-s-bvm6-allure-pack-1-ere-main-app-essence-bleu-70c8295a-45eb-4445-9276-19427b5c9181,Peugeot 308,PureTech 110ch S&S BVM6 Allure Pack 1 ere main app,"€ 6 990,-",Citadine,Occasion,5,5,,,115 000 km,04/2018,81 kW (110 CH),Boîte manuelle,,Essence,0 g/km (mixte),Bleu,,,2
https://www.autoscout24.fr/offres/mercedes-benz-ml-250-250-bluetec-sport-7g-tronic-diesel-6a6b4351-8d50-4fa2-be57-12f18fd4f5b7,Mercedes-Benz ML 250,250 BLUETEC SPORT 7G-TRONIC +,"€ 17 900,-",SUV/4x4/Pick-Up,Occasion,5,5,12362,12 mois,140 480 km,02/2014,152 kW (207 CH),Boîte automatique,2 143 cm³,Diesel,159 g/km (mixte),NOIR,Métallisé,Noir,3
https://www.autoscout24.fr/offres/opel-corsa-corsa-1-4-90-ch-edition-essence-gris-32f92da8-d699-43f0-8314-1ca52bf56fe0,Opel Corsa,Corsa 1.4 90 ch Edition,"€ 5 990,-",Berline,Occasion,5,5,,,65 525 km,05/2015,66 kW (90 CH),Avant,,Essence,,Gris,Métallisé,Noir,4
https://www.autoscout24.fr/offres/renault-clio-1-5-dci-8v-turbo-diesel-blanc-30b524ba-90ed-416b-be3b-1154eec0d236,Renault Clio,1.5 DCI - 8V TURBO,"€ 4 990,-",Autres,Occasion,2,5,,12 mois,168 000 km,05/2015,49 kW (67 CH),Boîte manuelle,,Diesel,83 g/km (mixte),Blanc,,,5
https://www.autoscout24.fr/offres/nissan-pixo-1-0-68ch-acenta-essence-a65d0c58-97dd-4575-be28-8ca7658abb43,Nissan Pixo,1.0 68CH ACENTA,"€ 2 990,-",Berline,Occasion,4,5,1979,3 mois,112 241 km,07/2010,,Boîte manuelle,996 cm³,Essence,99 g/km (mixte),ROUGE,,Noir,6
https://www.autoscout24.fr/offres/citroen-c3-citroen-1-2-puretech-110ch-shine-bva-essence-beige-7569eb7f-13f4-43dc-9dd6-1e3994e85d57,Citroen C3,Citroën 1.2 PURETECH 110CH SHINE BVA,"€ 9 990,-",Berline,Occasion,5,5,,,28 990 km,10/2020,81 kW (110 CH),Boîte automatique,,Essence,0 g/km (mixte),Beige,,,7
https://www.autoscout24.fr/offres/renault-scenic-1-9-dci-130-conquest-diesel-rouge-9be43971-c62e-4684-bf32-10ff3a3d11ee,Renault Scenic,1.9 dCi 130 Conquest,"€ 2 750,-1",Monospace,Occasion,5,5,,,199 500 km,03/2008,96 kW (131 CH),Avant,1 870 cm³,Diesel,160 g/km (mixte),Rouge,Métallisé,Noir,8
https://www.autoscout24.fr/offres/peugeot-208-80ch-active-essence-noir-1f9a3de5-c2c9-4d1b-a079-e12c4029e1a0,Peugeot 208,80CH ACTIVE,"€ 4 990,-",Citadine,Occasion,5,5,,,106 000 km,07/2015,61 kW (83 CH),Boîte manuelle,,Essence,0 g/km (mixte),Noir,,,9
https://www.autoscout24.fr/offres/toyota-rav-4-136-d-4d-lecap-diesel-56cf59e7-85b9-4261-a8e8-fa8d4c8c1772,Toyota RAV 4,136 D-4D LECAP,"€ 5 990,-",SUV/4x4/Pick-Up,Occasion,5,,1801,,196 733 km,10/2008,101 kW (137 CH),Boîte manuelle,2 231 cm³,Diesel,173 g/km (mixte),NOIR,,Noir,10
https://www.autoscout24.fr/offres/chevrolet-trax-chevrolet-trax-1-7-vcdi-130-ch-bv6-essence-noir-47edfa01-b40e-49db-b506-024d03f027b0,Chevrolet Trax,CHEVROLET TRAX 1.7 VCDI 130 CH BV6,"€ 6 490,-",SUV/4x4/Pick-Up,Occasion,5,5,19wb2vrs3,12 mois,175 000 km,01/2014,103 kW (140 CH),Boîte manuelle,1 364 cm³,Essence,,Black,,Noir,11
https://www.autoscout24.fr/offres/peugeot-208-208-1-2-puretech-68ch-bvm5-like-essence-965f9ce5-00ff-4cf7-93a2-51bba32b740f,Peugeot 208,208 1.2 PureTech 68ch BVM5 Like,"€ 3 990,-",Berline,Occasion,,5,,,98 000 km,10/2017,50 kW (68 CH),Boîte manuelle,,Essence,,,,,12
https://www.autoscout24.fr/offres/renault-megane-pack-authentique-essence-gris-babace5a-5272-4ccd-b7f9-356b0243cd9e,Renault Megane,Pack Authentique,"€ 2 990,-",Autres,Occasion,5,5,VF1BM0C0H27896499,3 mois,140 000 km,12/2002,83 kW (113 CH),Boîte manuelle,,Essence,163 g/km (mixte),GRIS,,,13
https://www.autoscout24.fr/offres/renault-megane-pack-authentique-essence-gris-babace5a-5272-4ccd-b7f9-356b0243cd9e,Renault Megane,Pack Authentique,"€ 2 990,-",Autres,Occasion,5,5,VF1BM0C0H27896499,3 mois,140 000 km,12/2002,83 kW (113 CH),Boîte manuelle,,Essence,163 g/km (mixte),GRIS,,,14
https://www.autoscout24.fr/offres/peugeot-5008-ii-1-6-bluehdi-120-s-s-allure-5-pl-diesel-noir-bfa5569e-2452-4e9c-9ea8-06a3cc977ab2,Peugeot 5008,II 1.6 BLUEHDI 120 S&S ALLURE 5 PL,"€ 7 490,-",SUV/4x4/Pick-Up,Occasion,5,5,,6 mois,170 700 km,02/2016,89 kW (121 CH),Boîte manuelle,,Diesel,0 g/km (mixte),Noir Métallisé,,,15
https://www.autoscout24.fr/offres/peugeot-5008-ii-1-6-bluehdi-120-s-s-allure-5-pl-diesel-noir-bfa5569e-2452-4e9c-9ea8-06a3cc977ab2,Peugeot 5008,II 1.6 BLUEHDI 120 S&S ALLURE 5 PL,"€ 7 490,-",SUV/4x4/Pick-Up,Occasion,5,5,,6 mois,170 700 km,02/2016,89 kW (121 CH),Boîte manuelle,,Diesel,0 g/km (mixte),Noir Métallisé,,,16
